question_id,domain,difficulty,question,gold_answer,clean_context,source,condition,context,provider,model,raw_response,parsed_answer,self_reported_confidence,latency_ms,response_chars,run_timestamp_utc,abstained,answer_correct,context_supports_gold,unsupported_claim,hallucinated,appropriate_abstention,confidence_error
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Helium has atomic number 2. Source B states: Helium has atomic number 4.",mock,deterministic-demo-v1,"ANSWER: 2
CONFIDENCE: 0.78",2,0.78,42.78,26,2026-09-15T22:54:35.035809+00:00,False,True,True,False,False,False,0.21999999999999997
Q002,chemistry,easy,What is the atomic number of Helium?,2,"According to the periodic table, Helium has atomic number 2.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.77",Insufficient information.,0.77,33.84,50,2026-09-15T22:54:35.035868+00:00,True,False,False,False,False,True,0.77
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table,clean,"According to the periodic table, Lithium has atomic number 3.",mock,deterministic-demo-v1,"ANSWER: 3
CONFIDENCE: 0.98",3,0.98,25.24,26,2026-09-15T22:54:35.036138+00:00,False,True,True,False,False,False,0.020000000000000018
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table,missing,"According to the periodic table, Lithium is a chemical element.",mock,deterministic-demo-v1,"ANSWER: 3
CONFIDENCE: 0.72",3,0.72,16.36,26,2026-09-15T22:54:35.036220+00:00,False,True,False,True,True,False,0.28
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table,irrelevant,"The Moon is Earth's natural satellite. The Pacific Ocean is Earth's largest ocean. Water freezes at 0 degrees Celsius at standard pressure. According to the periodic table, Lithium has atomic number 3.",mock,deterministic-demo-v1,"ANSWER: 3
CONFIDENCE: 0.86",3,0.86,45.01,26,2026-09-15T22:54:35.036288+00:00,False,True,True,False,False,False,0.14
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Lithium has atomic number 3. [duplicate] According to the periodic table, Lithium has atomic number 3. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 3
CONFIDENCE: 0.87",3,0.87,25.5,26,2026-09-15T22:54:35.036375+00:00,False,True,True,False,False,False,0.13
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Lithium has atomic number 3. Source B states: Lithium has atomic number 1.",mock,deterministic-demo-v1,"ANSWER: 1
CONFIDENCE: 0.88",1,0.88,29.12,26,2026-09-15T22:54:35.036447+00:00,False,False,True,False,True,False,0.88
Q003,chemistry,easy,What is the atomic number of Lithium?,3,"According to the periodic table, Lithium has atomic number 3.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.68",Insufficient information.,0.68,23.02,50,2026-09-15T22:54:35.036505+00:00,True,False,False,False,False,True,0.68
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table,clean,"According to the periodic table, Beryllium has atomic number 4.",mock,deterministic-demo-v1,"ANSWER: 4
CONFIDENCE: 0.90",4,0.9,46.68,26,2026-09-15T22:54:35.036692+00:00,False,True,True,False,False,False,0.09999999999999998
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table,missing,"According to the periodic table, Beryllium is a chemical element.",mock,deterministic-demo-v1,"ANSWER: 4
CONFIDENCE: 0.82",4,0.82,26.37,26,2026-09-15T22:54:35.036756+00:00,False,True,False,True,True,False,0.18000000000000005
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table,irrelevant,"A leap year normally has 366 days. The Pacific Ocean is Earth's largest ocean. A triangle has three sides. According to the periodic table, Beryllium has atomic number 4.",mock,deterministic-demo-v1,"ANSWER: 4
CONFIDENCE: 0.83",4,0.83,37.56,26,2026-09-15T22:54:35.036821+00:00,False,True,True,False,False,False,0.17000000000000004
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Beryllium has atomic number 4. [duplicate] According to the periodic table, Beryllium has atomic number 4. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 4
CONFIDENCE: 0.70",4,0.7,76.48,26,2026-09-15T22:54:35.036876+00:00,False,True,True,False,False,False,0.30000000000000004
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Beryllium has atomic number 4. Source B states: Beryllium has atomic number 3.",mock,deterministic-demo-v1,"ANSWER: 4
CONFIDENCE: 0.89",4,0.89,27.23,26,2026-09-15T22:54:35.036936+00:00,False,True,True,False,False,False,0.10999999999999999
Q004,chemistry,easy,What is the atomic number of Beryllium?,4,"According to the periodic table, Beryllium has atomic number 4.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.82",Insufficient information.,0.82,23.43,50,2026-09-15T22:54:35.036992+00:00,True,False,False,False,False,True,0.82
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table,clean,"According to the periodic table, Boron has atomic number 5.",mock,deterministic-demo-v1,"ANSWER: 5
CONFIDENCE: 0.97",5,0.97,75.4,26,2026-09-15T22:54:35.037154+00:00,False,True,True,False,False,False,0.030000000000000027
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table,missing,"According to the periodic table, Boron is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.79",Insufficient information.,0.79,75.21,50,2026-09-15T22:54:35.037220+00:00,True,False,False,False,False,True,0.79
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table,irrelevant,"Water freezes at 0 degrees Celsius at standard pressure. The Pacific Ocean is Earth's largest ocean. A triangle has three sides. According to the periodic table, Boron has atomic number 5.",mock,deterministic-demo-v1,"ANSWER: 5
CONFIDENCE: 0.74",5,0.74,41.1,26,2026-09-15T22:54:35.037287+00:00,False,True,True,False,False,False,0.26
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Boron has atomic number 5. [duplicate] According to the periodic table, Boron has atomic number 5. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 5
CONFIDENCE: 0.76",5,0.76,58.74,26,2026-09-15T22:54:35.037343+00:00,False,True,True,False,False,False,0.24
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Boron has atomic number 5. Source B states: Boron has atomic number 2.",mock,deterministic-demo-v1,"ANSWER: 1
CONFIDENCE: 0.89",1,0.89,57.85,26,2026-09-15T22:54:35.037448+00:00,False,False,True,False,True,False,0.89
Q005,chemistry,easy,What is the atomic number of Boron?,5,"According to the periodic table, Boron has atomic number 5.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.57",Insufficient information.,0.57,22.68,50,2026-09-15T22:54:35.037505+00:00,True,False,False,False,False,True,0.57
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table,clean,"According to the periodic table, Carbon has atomic number 6.",mock,deterministic-demo-v1,"ANSWER: 6
CONFIDENCE: 0.85",6,0.85,60.96,26,2026-09-15T22:54:35.037649+00:00,False,True,True,False,False,False,0.15000000000000002
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table,missing,"According to the periodic table, Carbon is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.72",Insufficient information.,0.72,58.31,50,2026-09-15T22:54:35.037710+00:00,True,False,False,False,False,True,0.72
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table,irrelevant,"A leap year normally has 366 days. A triangle has three sides. The Pacific Ocean is Earth's largest ocean. According to the periodic table, Carbon has atomic number 6.",mock,deterministic-demo-v1,"ANSWER: 9
CONFIDENCE: 0.61",9,0.61,71.11,26,2026-09-15T22:54:35.037775+00:00,False,False,True,False,True,False,0.61
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Carbon has atomic number 6. [duplicate] According to the periodic table, Carbon has atomic number 6. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 6
CONFIDENCE: 0.91",6,0.91,31.31,26,2026-09-15T22:54:35.037872+00:00,False,True,True,False,False,False,0.08999999999999997
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Carbon has atomic number 6. Source B states: Carbon has atomic number 5.",mock,deterministic-demo-v1,"ANSWER: 10
CONFIDENCE: 0.69",10,0.69,50.6,27,2026-09-15T22:54:35.037936+00:00,False,False,True,False,True,False,0.69
Q006,chemistry,easy,What is the atomic number of Carbon?,6,"According to the periodic table, Carbon has atomic number 6.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.70",Insufficient information.,0.7,34.46,50,2026-09-15T22:54:35.037992+00:00,True,False,False,False,False,True,0.7
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table,clean,"According to the periodic table, Nitrogen has atomic number 7.",mock,deterministic-demo-v1,"ANSWER: 7
CONFIDENCE: 0.94",7,0.94,70.52,26,2026-09-15T22:54:35.038166+00:00,False,True,True,False,False,False,0.06000000000000005
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table,missing,"According to the periodic table, Nitrogen is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.84",Insufficient information.,0.84,37.67,50,2026-09-15T22:54:35.038231+00:00,True,False,False,False,False,True,0.84
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table,irrelevant,"The Pacific Ocean is Earth's largest ocean. A triangle has three sides. Water freezes at 0 degrees Celsius at standard pressure. According to the periodic table, Nitrogen has atomic number 7.",mock,deterministic-demo-v1,"ANSWER: 7
CONFIDENCE: 0.73",7,0.73,44.15,26,2026-09-15T22:54:35.038333+00:00,False,True,True,False,False,False,0.27
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Nitrogen has atomic number 7. [duplicate] According to the periodic table, Nitrogen has atomic number 7. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 7
CONFIDENCE: 0.75",7,0.75,24.05,26,2026-09-15T22:54:35.038389+00:00,False,True,True,False,False,False,0.25
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Nitrogen has atomic number 7. Source B states: Nitrogen has atomic number 10.",mock,deterministic-demo-v1,"ANSWER: 7
CONFIDENCE: 0.89",7,0.89,43.71,26,2026-09-15T22:54:35.038477+00:00,False,True,True,False,False,False,0.10999999999999999
Q007,chemistry,easy,What is the atomic number of Nitrogen?,7,"According to the periodic table, Nitrogen has atomic number 7.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: 7
CONFIDENCE: 0.67",7,0.67,69.45,26,2026-09-15T22:54:35.038537+00:00,False,True,False,True,True,False,0.32999999999999996
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table,clean,"According to the periodic table, Oxygen has atomic number 8.",mock,deterministic-demo-v1,"ANSWER: 8
CONFIDENCE: 0.95",8,0.95,19.61,26,2026-09-15T22:54:35.038684+00:00,False,True,True,False,False,False,0.050000000000000044
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table,missing,"According to the periodic table, Oxygen is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.73",Insufficient information.,0.73,32.87,50,2026-09-15T22:54:35.038746+00:00,True,False,False,False,False,True,0.73
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table,irrelevant,"A triangle has three sides. The Pacific Ocean is Earth's largest ocean. A leap year normally has 366 days. According to the periodic table, Oxygen has atomic number 8.",mock,deterministic-demo-v1,"ANSWER: 8
CONFIDENCE: 0.69",8,0.69,58.4,26,2026-09-15T22:54:35.038807+00:00,False,True,True,False,False,False,0.31000000000000005
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Oxygen has atomic number 8. [duplicate] According to the periodic table, Oxygen has atomic number 8. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 11
CONFIDENCE: 0.78",11,0.78,28.98,27,2026-09-15T22:54:35.038866+00:00,False,False,True,False,True,False,0.78
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Oxygen has atomic number 8. Source B states: Oxygen has atomic number 11.",mock,deterministic-demo-v1,"ANSWER: 8
CONFIDENCE: 0.81",8,0.81,57.56,26,2026-09-15T22:54:35.038925+00:00,False,True,True,False,False,False,0.18999999999999995
Q008,chemistry,easy,What is the atomic number of Oxygen?,8,"According to the periodic table, Oxygen has atomic number 8.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: 8
CONFIDENCE: 0.84",8,0.84,31.01,26,2026-09-15T22:54:35.038978+00:00,False,True,False,True,True,False,0.16000000000000003
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table,clean,"According to the periodic table, Fluorine has atomic number 9.",mock,deterministic-demo-v1,"ANSWER: 9
CONFIDENCE: 0.82",9,0.82,69.94,26,2026-09-15T22:54:35.039206+00:00,False,True,True,False,False,False,0.18000000000000005
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table,missing,"According to the periodic table, Fluorine is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.82",Insufficient information.,0.82,41.23,50,2026-09-15T22:54:35.039270+00:00,True,False,False,False,False,True,0.82
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table,irrelevant,"Water freezes at 0 degrees Celsius at standard pressure. The Pacific Ocean is Earth's largest ocean. The Moon is Earth's natural satellite. According to the periodic table, Fluorine has atomic number 9.",mock,deterministic-demo-v1,"ANSWER: 9
CONFIDENCE: 0.84",9,0.84,71.39,26,2026-09-15T22:54:35.039333+00:00,False,True,True,False,False,False,0.16000000000000003
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Fluorine has atomic number 9. [duplicate] According to the periodic table, Fluorine has atomic number 9. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 9
CONFIDENCE: 0.93",9,0.93,72.7,26,2026-09-15T22:54:35.039388+00:00,False,True,True,False,False,False,0.06999999999999995
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Fluorine has atomic number 9. Source B states: Fluorine has atomic number 11.",mock,deterministic-demo-v1,"ANSWER: 9
CONFIDENCE: 0.85",9,0.85,71.99,26,2026-09-15T22:54:35.039447+00:00,False,True,True,False,False,False,0.15000000000000002
Q009,chemistry,easy,What is the atomic number of Fluorine?,9,"According to the periodic table, Fluorine has atomic number 9.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: 9
CONFIDENCE: 0.81",9,0.81,32.1,26,2026-09-15T22:54:35.039501+00:00,False,True,False,True,True,False,0.18999999999999995
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table,clean,"According to the periodic table, Neon has atomic number 10.",mock,deterministic-demo-v1,"ANSWER: 10
CONFIDENCE: 0.94",10,0.94,77.47,27,2026-09-15T22:54:35.039636+00:00,False,True,True,False,False,False,0.06000000000000005
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table,missing,"According to the periodic table, Neon is a chemical element.",mock,deterministic-demo-v1,"ANSWER: 10
CONFIDENCE: 0.73",10,0.73,33.07,27,2026-09-15T22:54:35.039694+00:00,False,True,False,True,True,False,0.27
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table,irrelevant,"The Moon is Earth's natural satellite. A triangle has three sides. Water freezes at 0 degrees Celsius at standard pressure. According to the periodic table, Neon has atomic number 10.",mock,deterministic-demo-v1,"ANSWER: 10
CONFIDENCE: 0.88",10,0.88,24.8,27,2026-09-15T22:54:35.039755+00:00,False,True,True,False,False,False,0.12
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Neon has atomic number 10. [duplicate] According to the periodic table, Neon has atomic number 10. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 10
CONFIDENCE: 0.86",10,0.86,22.21,27,2026-09-15T22:54:35.039810+00:00,False,True,True,False,False,False,0.14
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Neon has atomic number 10. Source B states: Neon has atomic number 12.",mock,deterministic-demo-v1,"ANSWER: 12
CONFIDENCE: 0.87",12,0.87,76.57,27,2026-09-15T22:54:35.039918+00:00,False,False,True,False,True,False,0.87
Q010,chemistry,easy,What is the atomic number of Neon?,10,"According to the periodic table, Neon has atomic number 10.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.62",Insufficient information.,0.62,29.65,50,2026-09-15T22:54:35.039975+00:00,True,False,False,False,False,True,0.62
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table,clean,"According to the periodic table, Sodium has atomic number 11.",mock,deterministic-demo-v1,"ANSWER: 11
CONFIDENCE: 0.89",11,0.89,25.54,27,2026-09-15T22:54:35.040188+00:00,False,True,True,False,False,False,0.10999999999999999
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table,missing,"According to the periodic table, Sodium is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.93",Insufficient information.,0.93,42.22,50,2026-09-15T22:54:35.040287+00:00,True,False,False,False,False,True,0.93
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table,irrelevant,"The Moon is Earth's natural satellite. The Pacific Ocean is Earth's largest ocean. A triangle has three sides. According to the periodic table, Sodium has atomic number 11.",mock,deterministic-demo-v1,"ANSWER: 11
CONFIDENCE: 0.80",11,0.8,31.64,27,2026-09-15T22:54:35.040354+00:00,False,True,True,False,False,False,0.19999999999999996
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Sodium has atomic number 11. [duplicate] According to the periodic table, Sodium has atomic number 11. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 11
CONFIDENCE: 0.78",11,0.78,64.63,27,2026-09-15T22:54:35.040409+00:00,False,True,True,False,False,False,0.21999999999999997
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table,contradictory,"Source A states: According to the periodic table, Sodium has atomic number 11. Source B states: Sodium has atomic number 9.",mock,deterministic-demo-v1,"ANSWER: 11
CONFIDENCE: 0.93",11,0.93,48.17,27,2026-09-15T22:54:35.040467+00:00,False,True,True,False,False,False,0.06999999999999995
Q011,chemistry,easy,What is the atomic number of Sodium?,11,"According to the periodic table, Sodium has atomic number 11.",IUPAC periodic table,no_context,,mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.81",Insufficient information.,0.81,77.78,50,2026-09-15T22:54:35.040548+00:00,True,False,False,False,False,True,0.81
Q012,chemistry,easy,What is the atomic number of Magnesium?,12,"According to the periodic table, Magnesium has atomic number 12.",IUPAC periodic table,clean,"According to the periodic table, Magnesium has atomic number 12.",mock,deterministic-demo-v1,"ANSWER: 12
CONFIDENCE: 0.95",12,0.95,16.42,27,2026-09-15T22:54:35.040703+00:00,False,True,True,False,False,False,0.050000000000000044
Q012,chemistry,easy,What is the atomic number of Magnesium?,12,"According to the periodic table, Magnesium has atomic number 12.",IUPAC periodic table,missing,"According to the periodic table, Magnesium is a chemical element.",mock,deterministic-demo-v1,"ANSWER: Insufficient information.
CONFIDENCE: 0.89",Insufficient information.,0.89,16.09,50,2026-09-15T22:54:35.040763+00:00,True,False,False,False,False,True,0.89
Q012,chemistry,easy,What is the atomic number of Magnesium?,12,"According to the periodic table, Magnesium has atomic number 12.",IUPAC periodic table,irrelevant,"A triangle has three sides. The Moon is Earth's natural satellite. A leap year normally has 366 days. According to the periodic table, Magnesium has atomic number 12.",mock,deterministic-demo-v1,"ANSWER: 11
CONFIDENCE: 0.74",11,0.74,39.7,27,2026-09-15T22:54:35.040867+00:00,False,False,True,False,True,False,0.74
Q012,chemistry,easy,What is the atomic number of Magnesium?,12,"According to the periodic table, Magnesium has atomic number 12.",IUPAC periodic table,duplicate_noise,"### RECORD ### According to the periodic table, Magnesium has atomic number 12. [duplicate] According to the periodic table, Magnesium has atomic number 12. !!! metadata=null; checksum=unknown",mock,deterministic-demo-v1,"ANSWER: 15
CONFIDENCE: 0.93",15,0.93,59.77,27,2026-09-15T22:54:35.040952+00:00,False,False,True,False,True,False,0.93
