question_id,domain,difficulty,question,gold_answer,clean_context,source
Q055,chemistry,moderate,What is the atomic number of Cesium?,55,"According to the periodic table, Cesium has atomic number 55.",IUPAC periodic table
Q056,chemistry,moderate,What is the atomic number of Barium?,56,"According to the periodic table, Barium has atomic number 56.",IUPAC periodic table
Q057,chemistry,moderate,What is the atomic number of Lanthanum?,57,"According to the periodic table, Lanthanum has atomic number 57.",IUPAC periodic table
Q058,chemistry,moderate,What is the atomic number of Cerium?,58,"According to the periodic table, Cerium has atomic number 58.",IUPAC periodic table
Q059,chemistry,moderate,What is the atomic number of Praseodymium?,59,"According to the periodic table, Praseodymium has atomic number 59.",IUPAC periodic table
Q060,chemistry,moderate,What is the atomic number of Neodymium?,60,"According to the periodic table, Neodymium has atomic number 60.",IUPAC periodic table
Q061,chemistry,moderate,What is the atomic number of Promethium?,61,"According to the periodic table, Promethium has atomic number 61.",IUPAC periodic table
Q062,chemistry,moderate,What is the atomic number of Samarium?,62,"According to the periodic table, Samarium has atomic number 62.",IUPAC periodic table
Q063,chemistry,moderate,What is the atomic number of Europium?,63,"According to the periodic table, Europium has atomic number 63.",IUPAC periodic table
Q064,chemistry,moderate,What is the atomic number of Gadolinium?,64,"According to the periodic table, Gadolinium has atomic number 64.",IUPAC periodic table
Q065,chemistry,moderate,What is the atomic number of Terbium?,65,"According to the periodic table, Terbium has atomic number 65.",IUPAC periodic table
Q066,chemistry,moderate,What is the atomic number of Dysprosium?,66,"According to the periodic table, Dysprosium has atomic number 66.",IUPAC periodic table
Q067,chemistry,moderate,What is the atomic number of Holmium?,67,"According to the periodic table, Holmium has atomic number 67.",IUPAC periodic table
Q068,chemistry,moderate,What is the atomic number of Erbium?,68,"According to the periodic table, Erbium has atomic number 68.",IUPAC periodic table
Q069,chemistry,moderate,What is the atomic number of Thulium?,69,"According to the periodic table, Thulium has atomic number 69.",IUPAC periodic table
Q070,chemistry,moderate,What is the atomic number of Ytterbium?,70,"According to the periodic table, Ytterbium has atomic number 70.",IUPAC periodic table
Q071,chemistry,moderate,What is the atomic number of Lutetium?,71,"According to the periodic table, Lutetium has atomic number 71.",IUPAC periodic table
Q072,chemistry,moderate,What is the atomic number of Hafnium?,72,"According to the periodic table, Hafnium has atomic number 72.",IUPAC periodic table
Q073,chemistry,moderate,What is the atomic number of Tantalum?,73,"According to the periodic table, Tantalum has atomic number 73.",IUPAC periodic table
Q074,chemistry,moderate,What is the atomic number of Tungsten?,74,"According to the periodic table, Tungsten has atomic number 74.",IUPAC periodic table
Q075,chemistry,moderate,What is the atomic number of Rhenium?,75,"According to the periodic table, Rhenium has atomic number 75.",IUPAC periodic table
Q076,chemistry,moderate,What is the atomic number of Osmium?,76,"According to the periodic table, Osmium has atomic number 76.",IUPAC periodic table
Q077,chemistry,moderate,What is the atomic number of Iridium?,77,"According to the periodic table, Iridium has atomic number 77.",IUPAC periodic table
Q078,chemistry,moderate,What is the atomic number of Platinum?,78,"According to the periodic table, Platinum has atomic number 78.",IUPAC periodic table
Q079,chemistry,moderate,What is the atomic number of Gold?,79,"According to the periodic table, Gold has atomic number 79.",IUPAC periodic table
Q080,chemistry,moderate,What is the atomic number of Mercury?,80,"According to the periodic table, Mercury has atomic number 80.",IUPAC periodic table
Q081,chemistry,moderate,What is the atomic number of Thallium?,81,"According to the periodic table, Thallium has atomic number 81.",IUPAC periodic table
Q082,chemistry,moderate,What is the atomic number of Lead?,82,"According to the periodic table, Lead has atomic number 82.",IUPAC periodic table
Q083,chemistry,moderate,What is the atomic number of Bismuth?,83,"According to the periodic table, Bismuth has atomic number 83.",IUPAC periodic table
Q084,chemistry,moderate,What is the atomic number of Polonium?,84,"According to the periodic table, Polonium has atomic number 84.",IUPAC periodic table
Q085,chemistry,moderate,What is the atomic number of Astatine?,85,"According to the periodic table, Astatine has atomic number 85.",IUPAC periodic table
Q086,chemistry,moderate,What is the atomic number of Radon?,86,"According to the periodic table, Radon has atomic number 86.",IUPAC periodic table
Q087,chemistry,moderate,What is the atomic number of Francium?,87,"According to the periodic table, Francium has atomic number 87.",IUPAC periodic table
Q088,chemistry,moderate,What is the atomic number of Radium?,88,"According to the periodic table, Radium has atomic number 88.",IUPAC periodic table
Q089,chemistry,moderate,What is the atomic number of Actinium?,89,"According to the periodic table, Actinium has atomic number 89.",IUPAC periodic table
Q090,chemistry,moderate,What is the atomic number of Thorium?,90,"According to the periodic table, Thorium has atomic number 90.",IUPAC periodic table
Q091,chemistry,moderate,What is the atomic number of Protactinium?,91,"According to the periodic table, Protactinium has atomic number 91.",IUPAC periodic table
Q092,chemistry,moderate,What is the atomic number of Uranium?,92,"According to the periodic table, Uranium has atomic number 92.",IUPAC periodic table
Q093,chemistry,moderate,What is the atomic number of Neptunium?,93,"According to the periodic table, Neptunium has atomic number 93.",IUPAC periodic table
Q094,chemistry,moderate,What is the atomic number of Plutonium?,94,"According to the periodic table, Plutonium has atomic number 94.",IUPAC periodic table
Q095,chemistry,moderate,What is the atomic number of Americium?,95,"According to the periodic table, Americium has atomic number 95.",IUPAC periodic table
Q096,chemistry,moderate,What is the atomic number of Curium?,96,"According to the periodic table, Curium has atomic number 96.",IUPAC periodic table
Q097,chemistry,moderate,What is the atomic number of Berkelium?,97,"According to the periodic table, Berkelium has atomic number 97.",IUPAC periodic table
Q098,chemistry,moderate,What is the atomic number of Californium?,98,"According to the periodic table, Californium has atomic number 98.",IUPAC periodic table
Q099,chemistry,moderate,What is the atomic number of Einsteinium?,99,"According to the periodic table, Einsteinium has atomic number 99.",IUPAC periodic table
Q100,chemistry,moderate,What is the atomic number of Fermium?,100,"According to the periodic table, Fermium has atomic number 100.",IUPAC periodic table
